Country,Total Cases,New Cases,Cases/Million
USA,10163469,104883,30642
India,8500003,39118,6138
Brazil,5653561,21056,26531
Russia,1753836,20396,12016
France,1661853,0,25440
Spain,1388411,0,29692
Argentina,1228814,0,27102
UK,1171441,24957,17224
Colombia,1136447,8714,22252
Mexico,955128,5931,7381
Peru,920010,2507,27768
Italy,902490,39811,14934
South Africa,735906,1731,12354
Iran,673250,9450,7980
Germany,653281,11919,7788
Poland,521640,27875,13788
Chile,519977,1568,27119
Iraq,496019,2880,12237
Belgium,488044,8703,42046
Ukraine,450934,10746,10333
Indonesia,433836,4262,1580
Bangladesh,418764,1289,2534
Czechia,407440,3943,38022
Netherlands,404401,6671,23583
Philippines,393961,2157,3579
Turkey,391739,2483,4627
Saudi Arabia,350229,407,10006
Pakistan,341753,1502,1537
Israel,318949,547,34677
Romania,296999,9937,15475
Canada,258454,2645,6827
Morocco,252185,5836,6804
Switzerland,211913,0,24423
Nepal,191636,2753,6536
Portugal,173540,6640,17037
Ecuador,173486,978,9781
Austria,147220,8241,16313
Sweden,146461,0,14470
Bolivia,142343,142,12137
UAE,141032,1141,14200
Panama,137760,0,31754
Qatar,134013,202,47729
Kuwait,131205,742,30566
Dominican Republic,129645,345,11909
Oman,117167,0,22746
Costa Rica,116363,946,22770
Kazakhstan,115439,613,6122
Guatemala,111050,548,6159
Egypt,108754,0,1056
Japan,105914,1132,838
Belarus,105283,997,11143
Hungary,104943,5318,10873
Jordan,104802,3554,10236
Armenia,104249,2476,35158
Honduras,99576,229,9998
Ethiopia,99201,455,856
Venezuela,94305,0,3320
Lebanon,93097,1769,13661
Bahrain,83264,241,48364
Moldova,81675,1174,20264
Slovakia,73667,2579,13491
Bulgaria,72184,0,10416
Uzbekistan,68367,228,2032
Tunisia,67918,1584,5726
Libya,67039,595,9710
Paraguay,66481,0,9281
Ireland,64855,317,13083
Croatia,64704,2399,15796
Azerbaijan,63748,1410,6268
Nigeria,63731,0,307
Kyrgyzstan,62304,556,9495
Kenya,61769,1065,1140
Algeria,61381,581,1391
Bosnia and Herzegovina,61212,1785,18699
Serbia,60635,2677,6950
Myanmar,60348,1071,1107
Singapore,58054,7,9896
Palestine,57657,431,11212
Georgia,54852,2859,13760
Greece,54809,2555,5268
Denmark,54230,1050,9351
Ghana,48904,116,1563
Slovenia,44270,1612,21293
Afghanistan,42033,58,1071
Malaysia,39357,1168,1211
North Macedonia,38782,1283,18615
El Salvador,35145,179,5409
Australia,27652,7,1080
S. Korea,27284,89,532
Norway,24102,267,4434
Albania,23705,495,8240
Lithuania,22719,1972,8388
Luxembourg,22481,675,35712
Montenegro,22379,300,35630
Cameroon,22103,0,826
Ivory Coast,20813,12,782
Finland,17385,0,3136
Madagascar,17111,0,613
Zambia,16908,89,911
Senegal,15693,17,929
Uganda,14066,214,304
Sudan,13943,0,315
Mozambique,13577,92,430
Sri Lanka,13419,449,626
Namibia,13170,27,5151
Guinea,12363,0,933
Angola,12335,112,371
Maldives,11962,30,21995
DRC,11550,33,128
Tajikistan,11294,38,1175
French Guiana,10647,0,35333
French Polynesia,9995,0,35509
Jamaica,9472,46,3194
Cabo Verde,9291,67,16648
Haiti,9127,0,797
Gabon,9022,0,4021
Zimbabwe,8471,0,567
Guadeloupe,7903,0,19750
Latvia,7880,404,4194
Botswana,7835,0,3309
Mauritania,7814,10,1666
Cuba,7267,39,642
Malta,7039,146,15927
Bahamas,6882,0,17442
Réunion,6264,0,6979
Syria,6147,45,348
Eswatini,5989,13,5144
Malawi,5948,6,308
Estonia,5933,229,4471
Cyprus,5871,314,4850
Trinidad and Tobago,5798,0,4138
Djibouti,5605,1,5645
Nicaragua,5591,0,840
Congo,5379,0,967
Hong Kong,5365,3,714
Andorra,5319,184,68802
Suriname,5227,0,8882
Rwanda,5213,5,399
Equatorial Guinea,5092,0,3589
Iceland,5063,24,14803
CAR,4866,0,1001
Aruba,4578,0,42815
Mayotte,4550,0,16541
Guyana,4484,27,5691
Somalia,4229,0,264
Martinique,4215,0,11235
Belize,4016,39,10037
Thailand,3830,12,55
Gambia,3684,0,1510
Mali,3657,0,179
Uruguay,3370,0,969
South Sudan,2943,0,262
Benin,2745,0,224
Burkina Faso,2562,0,121
Togo,2460,0,295
Guinea-Bissau,2414,0,1217
Sierra Leone,2381,8,296
Yemen,2067,0,69
New Zealand,1976,2,395
Lesotho,1967,0,916
Chad,1543,5,93
Liberia,1442,0,283
Niger,1230,0,50
Vietnam,1213,1,12
Curaçao,1053,0,6408
